2019-10-10 13:53:06,702 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2019-10-10 13:53:06,702 | INFO  | Could not accept connection during shutdown  : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2019-10-10 13:53:06,712 | WARN  | Setup of JMS message listener invoker failed for destination 'incoming' - trying to recover. Cause: java.io.EOFException | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel-1) thread #0 - JmsConsumer[incoming]
2019-10-10 13:53:06,718 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-18
2019-10-10 13:53:06,718 | INFO  | Connector openwire-ssl stopped | org.apache.activemq.broker.TransportConnector | Thread-18
2019-10-10 13:53:06,720 | INFO  | PListStore:[/opt/activemq/activemq-data/ConnectorA/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-18
2019-10-10 13:53:06,725 | ERROR | Could not refresh JMS Connection for destination 'incoming' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://0.0.0.0:61816. Reason: java.net.ConnectException: Connection refused (Connection refused) | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel-1) thread #0 - JmsConsumer[incoming]
2019-10-10 13:53:06,730 | WARN  | Setup of JMS message listener invoker failed for destination 'outcoming' - trying to recover. Cause: java.io.EOFException | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel-1) thread #1 - JmsConsumer[outcoming]
2019-10-10 13:53:06,737 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:f7d295826fc9-34644-1570714826738-0:1) uptime 12 minutes | org.apache.activemq.broker.BrokerService | Thread-18
2019-10-10 13:53:06,737 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:f7d295826fc9-34644-1570714826738-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-18
2019-10-10 13:53:06,738 | ERROR | Could not refresh JMS Connection for destination 'outcoming' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://0.0.0.0:61816. Reason: java.net.ConnectException: Connection refused (Connection refused) | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel-1) thread #1 - JmsConsumer[outcoming]
2019-10-10 13:53:16,451 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@e25b2fe: startup date [Thu Oct 10 13:53:16 GMT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-10-10 13:53:19,971 | WARN  | Memory Usage for the Broker (1024mb) is more than the maximum available for the JVM: 989 mb - resetting to 70% of maximum available: 692 mb | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:53:20,038 | INFO  | Using Persistence Adapter: MemoryPersistenceAdapter | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:53:20,039 | INFO  | PListStore:[/opt/activemq/activemq-data/ConnectorA/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-10-10 13:53:20,219 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2019-10-10 13:53:20,358 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:5c2bca3e845d-34379-1570715600054-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:53:20,419 | INFO  | Listening for connections at: tcp://5c2bca3e845d:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-10 13:53:20,425 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 13:53:20,508 | INFO  | Listening for connections at: ssl://5c2bca3e845d:61716?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-10 13:53:20,509 | INFO  | Connector openwire-ssl started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 13:53:20,509 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:5c2bca3e845d-34379-1570715600054-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:53:20,509 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:53:20,510 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /opt/activemq only has 3243 mb of usable space. - resetting to maximum available disk space: 3243 mb | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:53:21,714 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-10-10 13:53:22,207 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-10 13:53:22,207 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-10 13:53:22,317 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-10-10 13:53:22,903 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-10-10 13:53:23,010 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2019-10-10 13:53:23,690 | INFO  | Loaded 202 type converters | org.apache.camel.impl.converter.DefaultTypeConverter | main
2019-10-10 13:53:23,768 | INFO  | Apache Camel 2.16.3 (CamelContext: camel-1) is starting | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:23,769 | INFO  | JMX is enabled | org.apache.camel.management.ManagedManagementStrategy | main
2019-10-10 13:53:23,987 | INFO  | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000) | org.apache.camel.impl.DefaultRuntimeEndpointRegistry | main
2019-10-10 13:53:24,287 | INFO  | Available providers: SUN version 1.8. | org.apache.camel.util.jsse.SSLContextParameters | main
2019-10-10 13:53:24,304 | INFO  | Available providers: SUN version 1.8. | org.apache.camel.util.jsse.SSLContextParameters | main
2019-10-10 13:53:24,344 | INFO  | Created ClientConnectionManager org.apache.http.impl.conn.PoolingHttpClientConnectionManager@28348c6 | org.apache.camel.component.http4.HttpComponent | main
2019-10-10 13:53:24,389 | INFO  | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance. | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:24,389 | INFO  | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:25,118 | INFO  | Route: receiveMessageRoute started and consuming from: Endpoint[activemq://queue:incoming] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:25,181 | INFO  | Route: sendMessageRoute started and consuming from: Endpoint[activemq://queue:outcoming] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:25,182 | INFO  | Route: route2 started and consuming from: Endpoint[direct://hello] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:25,246 | INFO  | Route: route1 started and consuming from: Endpoint[http://5c2bca3e845d:9091/say/hello?restletMethods=GET] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:25,246 | INFO  | Total 4 routes, of which 4 is started. | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:25,275 | INFO  | Apache Camel 2.16.3 (CamelContext: camel-1) started in 1.478 seconds | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:53:59,348 | WARN  | Broker localhost not started so using ConnectorA instead | org.apache.activemq.broker.BrokerRegistry | qtp1713568869-30
2019-10-10 13:53:59,350 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1713568869-30
